MagX:,MagY:,MagZ:,Mag:,is data good?,try it myself,is data good?,,,,,,,
157,-476,-136,690.293,TRUE,519.346705,TRUE,,,x,y,z,abs,calcu
157,-475,-135,690.377,TRUE,518.1688914,TRUE,,max,498,255,287,5197.119,870.4579255
158,-475,-134,689.385,TRUE,518.2132766,TRUE,,min,-575,-662,-605,0,75.74298647
156,-475,-135,688.26,TRUE,517.8667782,TRUE,,range/2,536.5,458.5,446,2598.5595,397.3574695
156,-474,-135,688.832,TRUE,516.9497074,TRUE,,center,-38.5,-203.5,-159,2598.5595,473.100456
157,-474,-135,690.377,TRUE,517.2523562,TRUE,,,,,,,
158,-475,-135,690.134,TRUE,518.4727572,TRUE,,,,,,,
157,-475,-135,691.225,TRUE,518.1688914,TRUE,,,,,,,
155,-473,-135,689.923,TRUE,515.7315193,TRUE,,,,,,,
157,-474,-135,689.543,TRUE,517.2523562,TRUE,,,,,,,
156,-474,-135,690.673,TRUE,516.9497074,TRUE,,,,,,,
157,-475,-134,689.456,TRUE,517.9092585,TRUE,,,,,,,
157,-475,-135,691.594,TRUE,518.1688914,TRUE,,,,,,,
157,-475,-134,691.225,TRUE,517.9092585,TRUE,,,,,,,
157,-474,-135,690.602,TRUE,517.2523562,TRUE,,,,,,,
157,-475,-135,689.923,TRUE,518.1688914,TRUE,,,,,,,
156,-474,-135,689.923,TRUE,516.9497074,TRUE,,,,,,,
158,-475,-134,689.371,TRUE,518.2132766,TRUE,,,,,,,
156,-475,-133,690.758,TRUE,517.3490118,TRUE,,,,,,,
155,-474,-135,691.472,TRUE,516.6488169,TRUE,,,,,,,
157,-475,-134,690.844,TRUE,517.9092585,TRUE,,,,,,,
158,-475,-135,691.054,TRUE,518.4727572,TRUE,,,,,,,
157,-474,-135,691.139,TRUE,517.2523562,TRUE,,,,,,,
156,-475,-134,690.758,TRUE,517.6069938,TRUE,,,,,,,
156,-476,-136,689.288,TRUE,519.0452774,TRUE,,,,,,,
156,-473,-136,689.837,TRUE,516.295458,TRUE,,,,,,,
157,-475,-133,690.602,TRUE,517.6514271,TRUE,,,,,,,
158,-475,-135,689.752,TRUE,518.4727572,TRUE,,,,,,,
156,-476,-135,689.837,TRUE,518.7841555,TRUE,,,,,,,
157,-474,-134,690.219,TRUE,516.992263,TRUE,,,,,,,
158,-475,-133,690.134,TRUE,517.9555966,TRUE,,,,,,,
158,-476,-135,690.758,TRUE,519.3890642,TRUE,,,,,,,
156,-474,-134,690.844,TRUE,516.6894619,TRUE,,,,,,,
156,-475,-134,690.393,TRUE,517.6069938,TRUE,,,,,,,
157,-474,-135,689.543,TRUE,517.2523562,TRUE,,,,,,,
157,-476,-136,692.357,TRUE,519.346705,TRUE,,,,,,,
158,-476,-134,692.059,TRUE,519.1300415,TRUE,,,,,,,
158,-475,-136,692.527,TRUE,518.7340359,TRUE,,,,,,,
157,-474,-134,690.602,TRUE,516.992263,TRUE,,,,,,,
156,-475,-135,689.385,TRUE,517.8667782,TRUE,,,,,,,
158,-474,-134,689.456,TRUE,517.29682,TRUE,,,,,,,
156,-474,-135,690.305,TRUE,516.9497074,TRUE,,,,,,,
157,-473,-135,691.608,TRUE,516.3361308,TRUE,,,,,,,
158,-474,-135,690.219,TRUE,517.5567602,TRUE,,,,,,,
157,-475,-135,689.456,TRUE,518.1688914,TRUE,,,,,,,
157,-475,-135,691.225,TRUE,518.1688914,TRUE,,,,,,,
156,-474,-134,689.299,TRUE,516.6894619,TRUE,,,,,,,
156,-473,-135,690.293,TRUE,516.0329447,TRUE,,,,,,,
158,-475,-133,691.975,TRUE,517.9555966,TRUE,,,,,,,
157,-474,-135,690.758,TRUE,517.2523562,TRUE,,,,,,,
158,-474,-134,691.594,TRUE,517.29682,TRUE,,,,,,,
156,-475,-135,691.054,TRUE,517.8667782,TRUE,,,,,,,
158,-475,-134,688.622,TRUE,518.2132766,TRUE,,,,,,,
157,-474,-134,690.758,TRUE,516.992263,TRUE,,,,,,,
156,-474,-135,690.758,TRUE,516.9497074,TRUE,,,,,,,
156,-476,-136,692.895,TRUE,519.0452774,TRUE,,,,,,,
156,-475,-135,690.59,TRUE,517.8667782,TRUE,,,,,,,
157,-475,-135,690.517,TRUE,518.1688914,TRUE,,,,,,,
157,-474,-135,691.139,TRUE,517.2523562,TRUE,,,,,,,
157,-475,-134,690.602,TRUE,517.9092585,TRUE,,,,,,,
157,-476,-134,691.054,TRUE,518.8265606,TRUE,,,,,,,
158,-475,-135,691.054,TRUE,518.4727572,TRUE,,,,,,,
156,-475,-136,689.683,TRUE,518.1283625,TRUE,,,,,,,
156,-474,-134,689.923,TRUE,516.6894619,TRUE,,,,,,,
156,-474,-133,689.837,TRUE,516.4310215,TRUE,,,,,,,
157,-473,-132,691.313,TRUE,515.5598898,TRUE,,,,,,,
156,-476,-136,691.608,TRUE,519.0452774,TRUE,,,,,,,
157,-475,-134,689.752,TRUE,517.9092585,TRUE,,,,,,,
156,-474,-135,691.225,TRUE,516.9497074,TRUE,,,,,,,
158,-474,-134,690.219,TRUE,517.29682,TRUE,,,,,,,
157,-473,-136,689.456,TRUE,516.5984901,TRUE,,,,,,,
156,-475,-134,691.054,TRUE,517.6069938,TRUE,,,,,,,
157,-475,-136,689.543,TRUE,518.4303232,TRUE,,,,,,,
157,-475,-136,690.688,TRUE,518.4303232,TRUE,,,,,,,
157,-474,-134,689.914,TRUE,516.992263,TRUE,,,,,,,
157,-475,-135,690.219,TRUE,518.1688914,TRUE,,,,,,,
156,-474,-134,689.456,TRUE,516.6894619,TRUE,,,,,,,
157,-474,-135,691.139,TRUE,517.2523562,TRUE,,,,,,,
156,-475,-134,689.752,TRUE,517.6069938,TRUE,,,,,,,
157,-475,-134,691.608,TRUE,517.9092585,TRUE,,,,,,,
157,-475,-135,690.673,TRUE,518.1688914,TRUE,,,,,,,
157,-475,-133,689.752,TRUE,517.6514271,TRUE,,,,,,,
156,-476,-135,690.688,TRUE,518.7841555,TRUE,,,,,,,
156,-475,-135,691.385,TRUE,517.8667782,TRUE,,,,,,,
156,-476,-135,689.837,TRUE,518.7841555,TRUE,,,,,,,
157,-475,-134,690.464,TRUE,517.9092585,TRUE,,,,,,,
155,-476,-135,690.464,TRUE,518.4843296,TRUE,,,,,,,
156,-475,-134,690.134,TRUE,517.6069938,TRUE,,,,,,,
156,-474,-135,690.305,TRUE,516.9497074,TRUE,,,,,,,
157,-475,-135,690.305,TRUE,518.1688914,TRUE,,,,,,,
157,-475,-135,690.758,TRUE,518.1688914,TRUE,,,,,,,
156,-473,-135,690.464,TRUE,516.0329447,TRUE,,,,,,,
157,-475,-136,691.385,TRUE,518.4303232,TRUE,,,,,,,
156,-475,-135,691.139,TRUE,517.8667782,TRUE,,,,,,,
156,-475,-136,691.214,TRUE,518.1283625,TRUE,,,,,,,
157,-474,-134,690.844,TRUE,516.992263,TRUE,,,,,,,
156,-475,-135,692.059,TRUE,517.8667782,TRUE,,,,,,,
157,-474,-134,692.059,TRUE,516.992263,TRUE,,,,,,,
158,-475,-134,690.011,TRUE,518.2132766,TRUE,,,,,,,
158,-474,-134,689.923,TRUE,517.29682,TRUE,,,,,,,
156,-475,-134,690.688,TRUE,517.6069938,TRUE,,,,,,,
158,-474,-136,690.219,TRUE,517.818501,TRUE,,,,,,,
157,-475,-134,690.377,TRUE,517.9092585,TRUE,,,,,,,
156,-475,-135,691.313,TRUE,517.8667782,TRUE,,,,,,,
157,-474,-134,691.054,TRUE,516.992263,TRUE,,,,,,,
157,-474,-133,689.299,TRUE,516.7339741,TRUE,,,,,,,
157,-475,-135,690.305,TRUE,518.1688914,TRUE,,,,,,,
157,-475,-136,690.758,TRUE,518.4303232,TRUE,,,,,,,
157,-474,-136,689.543,TRUE,517.514251,TRUE,,,,,,,
157,-474,-135,690.59,TRUE,517.2523562,TRUE,,,,,,,
157,-475,-134,690.134,TRUE,517.9092585,TRUE,,,,,,,
157,-473,-135,690.517,TRUE,516.3361308,TRUE,,,,,,,
156,-475,-133,690.971,TRUE,517.3490118,TRUE,,,,,,,
158,-475,-135,690.293,TRUE,518.4727572,TRUE,,,,,,,
156,-475,-134,690.971,TRUE,517.6069938,TRUE,,,,,,,
155,-474,-134,690.673,TRUE,516.3884197,TRUE,,,,,,,
157,-476,-134,691.437,TRUE,518.8265606,TRUE,,,,,,,
157,-473,-133,690.673,TRUE,515.816828,TRUE,,,,,,,
156,-476,-136,690.305,TRUE,519.0452774,TRUE,,,,,,,
158,-474,-134,691.054,TRUE,517.29682,TRUE,,,,,,,
157,-475,-133,692.615,TRUE,517.6514271,TRUE,,,,,,,
156,-474,-136,691.594,TRUE,517.2117555,TRUE,,,,,,,
156,-474,-134,690.673,TRUE,516.6894619,TRUE,,,,,,,
156,-475,-135,689.385,TRUE,517.8667782,TRUE,,,,,,,
158,-474,-135,689.16,TRUE,517.5567602,TRUE,,,,,,,
157,-474,-135,688.956,TRUE,517.2523562,TRUE,,,,,,,
158,-475,-135,688.123,TRUE,518.4727572,TRUE,,,,,,,
156,-474,-134,691.639,TRUE,516.6894619,TRUE,,,,,,,
156,-475,-135,690.969,TRUE,517.8667782,TRUE,,,,,,,
