MinX:,MaxX:,MinY:,MaxY:,MinZ:,MaxZ:,,,MinX:,MaxX:,MinY:,MaxY:,MinZ:,MaxZ:
-1462.04065,1617.1178,-1385.06995,1444.23059,-1369.1145,1472.91711,,,-1411.186149,1527.426455,-1337.351606,1439.017619,-1319.683693,1480.912522
-1522.354,1632.95654,-1442.15881,1472.31555,-1428.04114,1507.15051,,,,,,,,
-1307.49805,1648.44409,-1242.58997,1499.8158,-1225.89941,1539.29529,,,,,,,,
-1398.97058,1611.33716,-1327.19592,1425.95276,-1312.30957,1448.12354,,,,,,,,
-1461.70654,1617.91992,-1385.67151,1444.43115,-1369.86633,1474.06982,,,,,,,,
-1523.38989,1632.63904,-1443.36169,1472.41589,-1427.55676,1506.34827,,,,,,,,
-1307.16382,1647.20776,-1242.9408,1499.38135,-1226.36719,1540.7821,,,,,,,,
-1399.18762,1612.84082,-1328.43213,1425.98633,-1311.54114,1448.32397,,,,,,,,
-1460.98816,1616.63342,-1385.58801,1444.74854,-1369.86633,1471.43018,,,,,,,,
-1523.10596,1630.76782,-1441.99194,1474.08655,-1427.27271,1507.43445,,,,,,,,
-1307.0636,1646.90698,-1241.33691,1499.79907,-1223.77747,1542.03516,,,,,,,,
-1399.87268,1606.70935,-1328.7998,1424.03149,-1309.83691,1465.4823,,,,,,,,
-1461.23853,1613.77637,-1385.93872,1438.60034,-1367.31018,1487.68628,,,,,,,,
-1522.93872,1630.66748,-1441.52405,1463.32703,-1424.98364,1514.10059,,,,,,,,
-1306.41187,1646.32239,-1242.22253,1498.29541,-1223.12598,1541.11633,,,,,,,,
-1398.20203,1607.81201,-1328.11475,1401.62695,-1309.23547,1469.45874,,,,,,,,
-1458.93311,1615.3136,-1383.88379,1422.52771,-1369.88306,1485.6814,,,,,,,,
-1521.70239,787.31561,-1441.54065,1453.75378,-1426.35376,1506.89966,,,,,,,,
-1336.35132,1645.7041,-1270.7085,1493.45044,-1253.1825,1539.72974,,,,,,,,
-1397.21619,1595.66565,-1326.66125,1362.98291,-1311.6748,1419.01941,,,,,,,,
-1459.4845,1612.22266,-1383.19873,1406.92322,-1369.01416,1459.86865,,,,,,,,
-1520.04846,1629.78198,-1441.12305,1455.1405,-1426.67114,1500.95203,,,,,,,,
-1337.13672,801.41656,-1270.17383,1493.88477,-1252.96521,1537.17346,,,,,,,,
-1399.17102,1579.92749,-1326.26025,1360.64392,-1311.57458,1400.92529,,,,,,,,
-1461.37231,1595.44849,-1384.00073,1404.38367,-1367.67761,1441.59082,,,,,,,,
-1522.354,1617.46875,-1440.65515,1452.2168,-1425.61865,1485.61462,,,,,,,,
-1337.48755,1633.47437,-1269.53882,1485.54773,-1251.86255,1525.42822,,,,,,,,
-1398.92041,1567.19653,-1327.16235,1390.34949,-1308.43359,1384.31812,,,,,,,,
-1459.83521,1592.625,-1383.56628,1421.87622,-1367.20996,1434.74084,,,,,,,,
-1520.96729,1620.5094,-1440.45471,1451.88257,-1425.30127,1488.07056,,,,,,,,
-1338.59021,1640.84229,-1269.73938,1492.36438,-1252.61438,1534.09924,,,,,,,,
-1400.69128,1546.0282,-1327.31274,1366.44128,-1309.5697,1384.35168,,,,,,,,
-1463.17664,1567.89819,-1383.59985,1408.96143,-1366.69189,1433.77185,,,,,,,,
-1523.85779,1597.77087,-1441.05627,1456.995,-1422.86206,1481.70508,,,,,,,,
-1338.23938,1637.06641,-1268.97083,1490.87744,-1251.94617,1533.9989,,,,,,,,
-1395.49548,1569.88647,-1324.68982,1347.17786,-1307.89893,1405.41956,,,,,,,,
-1459.1001,1610.73584,-1382.46375,1441.24011,-1365.2384,1463.17664,,,,,,,,
-1518.36096,1622.24707,-1438.51672,1473.38489,-1423.17944,1497.0592,,,,,,,,
-1332.74268,1643.88306,-1267.93494,1493.41687,-1249.50684,1535.45264,,,,,,,,
-1394.57654,613.96051,-1324.57288,1321.6156,-1306.49548,1363.28369,,,,,,,,
-1458.86621,1605.43945,-1381.06018,1418.8689,-1363.18335,1488.85596,,,,,,,,
-1521.90295,1616.51648,-1439.41895,1457.66321,-1420.28906,1518.79541,,,,,,,,
-1305.54309,1636.59863,-1238.4967,1491.479,-1218.69861,1538.37634,,,,,,,,
-1397.58386,1569.80286,-1323.63721,1400.20691,-1305.57654,1487.41907,,,,,,,,
-1459.18372,1590.73706,-1380.55896,1449.59375,-1363.38379,1487.21851,,,,,,,,
-1519.48035,1619.65747,-1437.43066,1474.85522,-1421.32483,1502.58923,,,,,,,,
-1305.10864,1637.6344,-1238.51343,1494.66992,-1221.12109,1532.44531,,,,,,,,
-1397.4502,1561.09827,-1322.88538,1452.70117,-1304.94177,1429.02698,,,,,,,,
-1454.27161,1586.81079,-1380.42529,1458.69922,-1362.14758,1462.54187,,,,,,,,
-1516.27258,1625.505,-1436.84607,1456.49377,-1420.58984,1505.79712,,,,,,,,
-1304.13977,1638.10229,-1238.11243,1491.46216,-1217.59583,1536.70569,,,,,,,,
-1514.56848,782.42035,-1435.59302,1456.14294,-1419.80457,1501.00195,,,,,,,,
-1299.16101,796.95569,-1236.14099,1489.94177,-1219.43372,1532.46191,,,,,,,,
-1361.21191,746.86725,-1293.36353,1369.71606,-1276.67297,1425.61865,,,,,,,,
-1452.81812,684.66583,-1378.73792,1430.63074,-1363.48413,1480.20154,,,,,,,,
-1517.19141,783.23901,-1434.67407,1458.39832,-1417.84985,1503.02368,,,,,,,,
-1305.57654,1635.54602,-1237.19348,1491.646,-1216.62683,1532.01086,,,,,,,,
-1367.81128,1501.06885,-1294.91736,1405.65356,-1273.94958,1457.88049,,,,,,,,
-1459.1001,1564.20581,-1380.07458,1435.81018,-1360.49365,1505.07861,,,,,,,,
-1516.55652,1605.40613,-1435.92712,1448.95886,-1418.3175,1517.27502,,,,,,,,
-1300.84827,1638.41968,-1236.99304,1489.03967,-1217.245,1533.53125,,,,,,,,
